@RELATION SCIAA
@ATTRIBUTE H90  	NUMERIC
@ATTRIBUTE H80   	NUMERIC
@ATTRIBUTE H70  	NUMERIC
@ATTRIBUTE H60  	NUMERIC
@ATTRIBUTE H50  	NUMERIC
@ATTRIBUTE total_printed   NUMERIC
@ATTRIBUTE total_handwritten   NUMERIC
@ATTRIBUTE total   NUMERIC
@ATTRIBUTE  class    {printed, handwritten}
@DATA
7,5,3,1,4,159,20,179,
10,2,3,0,1,157,16,173,
4,2,0,1,3,163,10,173,
3,5,1,10,4,278,23,301,
7,4,3,3,5,151,22,173,
6,4,2,3,2,156,17,173,
9,2,5,3,2,157,21,178,
9,6,8,4,9,129,36,165,
39,31,22,13,17,65,122,187,
0,1,0,0,1,183,2,185,
38,31,16,18,21,48,124,172,
7,3,2,1,2,236,15,251,
0,2,1,2,0,192,5,197,
0,1,0,0,0,206,1,207,
3,3,2,4,1,187,13,200,
2,1,2,1,1,219,7,226,
0,0,1,1,0,204,2,206,
3,1,1,0,0,211,5,216,
1,3,0,0,3,204,7,211,
2,3,3,1,0,190,9,199,
2,3,5,3,3,189,16,205,
7,8,4,5,1,188,25,213,
4,2,0,0,0,220,6,226,
2,2,1,1,3,240,9,249,
1,0,2,1,3,253,7,260,
3,0,0,0,0,307,3,310,
2,0,1,0,1,299,4,303,
2,0,0,4,3,270,9,279,
4,6,1,2,3,231,16,247,
1,4,0,3,2,236,10,246,
0,2,0,3,1,276,6,282,
2,1,0,0,1,245,4,249,
2,2,0,7,5,267,16,283,
0,1,0,1,0,258,2,260,
0,2,0,2,0,236,4,240,
1,6,3,4,8,270,22,292,
2,1,0,0,1,246,4,250,
3,2,3,9,2,225,19,244,
1,2,1,1,3,258,8,266,
2,1,3,0,3,260,9,269,
20,8,8,7,11,232,54,286,
2,7,4,10,4,203,27,230,
3,5,6,9,7,197,30,227,
4,3,2,9,7,203,25,228,
1,5,7,11,7,207,31,238,
0,1,5,5,4,219,15,234,
6,2,7,2,3,217,20,237,
2,5,1,5,9,240,22,262,
2,2,6,4,5,296,19,315,
0,4,7,6,3,323,20,343,
1,5,7,11,8,253,32,285,
1,0,3,8,5,168,17,185,
1,1,2,3,2,180,9,189,
4,4,8,5,6,156,27,183,
0,0,3,2,5,178,10,188,
4,5,8,8,9,145,34,179,
1,1,0,5,6,174,13,187,
1,0,3,5,4,174,13,187,
0,0,3,6,3,171,12,183,
1,1,4,4,6,171,16,187,
0,2,1,4,3,180,10,190,
18,29,28,21,28,104,124,228,
3,7,8,18,14,189,50,239,
3,5,8,22,7,191,45,236,
7,5,26,11,10,148,59,207,
0,2,2,4,4,240,12,252,
3,2,3,12,6,222,26,248,
0,1,8,5,7,222,21,243,
3,2,3,6,12,221,26,247,
12,11,12,15,4,86,54,140,
14,12,11,13,6,81,56,137,
15,7,16,13,5,81,56,137,
14,9,14,9,9,84,55,139,
0,0,3,3,2,137,8,145,
0,0,1,5,1,139,7,146,
0,1,3,3,3,136,10,146,
0,2,1,4,2,137,9,146,
12,16,7,14,4,91,53,144,
