@RELATION SCIAA
@ATTRIBUTE H90  	NUMERIC
@ATTRIBUTE H80   	NUMERIC
@ATTRIBUTE H70  	NUMERIC
@ATTRIBUTE H60  	NUMERIC
@ATTRIBUTE H50  	NUMERIC
@ATTRIBUTE total_printed   NUMERIC
@ATTRIBUTE total_handwritten   NUMERIC
@ATTRIBUTE total   NUMERIC
@ATTRIBUTE  class    {printed, handwritten}
@DATA
0,0,0,1,0,149,1,150,?
6,4,10,6,7,272,33,305,?
14,8,3,6,5,126,36,162,?
5,4,7,9,6,112,31,143,?
5,11,4,8,15,99,43,142,?
2,5,3,4,5,245,19,264,?
5,1,1,3,3,144,13,157,?
7,1,4,3,4,174,19,193,?
0,1,1,1,1,126,4,130,?
0,0,2,1,3,122,6,128,?
1,3,1,0,1,141,6,147,?
7,0,2,3,5,260,17,277,?
3,1,4,5,6,300,19,319,?
5,1,1,1,4,207,12,219,?
0,1,2,0,1,167,4,171,?
2,4,4,3,1,243,14,257,?
0,4,0,2,2,129,8,137,?
1,3,2,2,3,173,11,184,?
2,5,3,2,3,134,15,149,?
1,1,1,2,7,140,12,152,?
3,2,1,6,2,148,14,162,?
4,4,7,10,9,224,34,258,?
6,5,3,3,5,139,22,161,?
2,5,2,8,6,236,23,259,?
8,6,4,2,5,145,25,170,?
4,2,4,4,3,132,17,149,?
71,16,8,1,4,100,100,200,?
74,14,4,5,4,102,101,203,?
2,1,0,0,3,122,6,128,?
1,3,3,1,3,119,11,130,?
1,2,0,1,6,122,10,132,?
0,2,0,1,2,123,5,128,?
3,3,0,2,5,139,13,152,?
1,3,0,3,2,124,9,133,?
1,3,0,1,3,131,8,139,?
2,2,3,0,1,132,8,140,?
0,3,6,2,4,117,15,132,?
2,2,1,1,1,169,7,176,?
6,0,0,2,0,131,8,139,?
0,4,1,1,2,134,8,142,?
3,2,3,0,2,131,10,141,?
1,2,2,1,2,164,8,172,?
1,1,5,3,1,118,11,129,?
4,4,1,2,3,147,14,161,?
4,0,0,1,3,138,8,146,?
4,1,1,3,2,144,11,155,?
1,1,4,1,0,122,7,129,?
3,2,2,1,2,120,10,130,?
3,8,3,4,8,226,26,252,?
5,2,1,0,0,147,8,155,?
3,1,3,0,0,152,7,159,?
13,6,4,2,2,86,27,113,?
5,9,5,8,5,76,32,108,?
2,3,1,3,3,135,12,147,?
1,2,2,3,2,174,10,184,?
1,1,1,0,3,137,6,143,?
2,3,3,2,2,175,12,187,?
1,1,3,5,3,130,13,143,?
1,1,3,2,2,128,9,137,?
0,1,0,1,0,133,2,135,?
4,0,3,0,2,166,9,175,?
3,2,1,1,2,181,9,190,?
4,1,1,4,2,136,12,148,?
5,5,2,1,3,236,16,252,?
5,5,6,1,4,280,21,301,?
3,2,2,0,3,192,10,202,?
2,2,0,1,3,115,8,123,?
71,22,18,17,7,102,135,237,?
5,1,1,2,1,143,10,153,?
10,7,14,18,16,73,65,138,?
8,3,1,2,2,148,16,164,?
3,2,3,5,6,145,19,164,?
0,3,5,3,6,99,17,116,?
54,17,15,15,10,101,111,212,?
19,12,13,9,13,53,66,119,?
41,23,12,8,8,23,92,115,?
5,8,12,12,11,90,48,138,?
40,13,10,4,9,25,76,101,?
20,16,23,15,18,93,92,185,?
24,21,22,9,9,68,85,153,?
10,8,6,12,8,85,44,129,?
45,13,11,6,4,26,79,105,?
10,10,11,16,10,99,57,156,?
14,11,10,10,12,77,57,134,?
7,17,17,9,14,70,64,134,?
14,12,12,13,10,90,61,151,?
31,18,14,9,11,29,83,112,?
7,8,11,12,9,66,47,113,?
61,12,11,8,3,87,95,182,?
0,1,0,0,2,133,3,136,?
52,29,20,13,14,124,128,252,?
0,0,1,0,1,113,2,115,?
0,1,0,0,0,185,1,186,?
0,0,1,0,0,154,1,155,?
124,36,10,9,4,7,183,190,?
5,6,1,4,6,186,22,208,?
