@RELATION SCIAA
@ATTRIBUTE H90  	NUMERIC
@ATTRIBUTE H80   	NUMERIC
@ATTRIBUTE H70  	NUMERIC
@ATTRIBUTE total_printed   NUMERIC
@ATTRIBUTE total_handwritten   NUMERIC
@ATTRIBUTE total   NUMERIC
@ATTRIBUTE  class    {printed, handwritten}
@DATA
48,22,12,187,101,288,?
0,0,0,149,1,150,?
5,8,5,157,26,183,?
6,4,10,272,33,305,?
14,8,3,126,36,162,?
30,8,5,155,54,209,?
5,4,7,112,31,143,?
7,5,3,159,20,179,?
5,11,4,99,43,142,?
12,2,1,154,23,177,?
2,5,3,245,19,264,?
24,5,7,157,48,205,?
95,24,25,38,162,200,?
5,1,1,144,13,157,?
10,2,3,157,16,173,?
7,1,4,174,19,193,?
23,10,3,159,45,204,?
0,1,1,126,4,130,?
0,0,2,122,6,128,?
6,1,2,154,14,168,?
13,4,1,154,23,177,?
1,3,1,141,6,147,?
13,3,1,160,23,183,?
7,0,2,260,17,277,?
22,9,4,156,45,201,?
3,1,4,300,19,319,?
47,8,10,154,75,229,?
5,1,1,207,12,219,?
22,5,7,157,45,202,?
0,1,2,167,4,171,?
13,6,2,160,25,185,?
2,4,4,243,14,257,?
31,11,9,152,62,214,?
0,4,0,129,8,137,?
4,2,0,163,10,173,?
1,3,2,173,11,184,?
4,2,4,165,15,180,?
2,5,3,134,15,149,?
22,4,6,158,38,196,?
1,1,1,140,12,152,?
7,5,3,144,27,171,?
3,2,1,148,14,162,?
23,2,4,162,35,197,?
4,4,7,224,34,258,?
42,10,5,159,71,230,?
6,5,3,139,22,161,?
14,9,6,154,36,190,?
3,5,1,278,23,301,?
2,5,2,236,23,259,?
4,6,4,153,24,177,?
8,6,4,145,25,170,?
5,5,6,153,27,180,?
4,2,4,132,17,149,?
22,8,5,154,42,196,?
71,16,8,100,100,200,?
27,10,3,160,48,208,?
74,14,4,102,101,203,?
10,6,12,143,53,196,?
2,1,0,122,6,128,?
7,4,3,151,22,173,?
1,3,3,119,11,130,?
11,2,2,155,24,179,?
1,2,0,122,10,132,?
10,6,6,158,26,184,?
0,2,0,123,5,128,?
8,3,5,158,22,180,?
3,3,0,139,13,152,?
35,7,5,155,56,211,?
1,3,0,124,9,133,?
6,4,2,156,17,173,?
1,3,0,131,8,139,?
11,2,4,156,22,178,?
2,2,3,132,8,140,?
16,3,5,159,30,189,?
0,3,6,117,15,132,?
7,3,2,159,19,178,?
2,2,1,169,7,176,?
12,2,5,163,26,189,?
6,0,0,131,8,139,?
8,9,1,155,21,176,?
0,4,1,134,8,142,?
8,4,2,160,17,177,?
3,2,3,131,10,141,?
9,2,7,156,22,178,?
1,2,2,164,8,172,?
22,5,4,157,35,192,?
1,1,5,118,11,129,?
9,2,5,157,21,178,?
4,4,1,147,14,161,?
13,7,5,148,37,185,?
4,0,0,138,8,146,?
13,4,9,145,34,179,?
4,1,1,144,11,155,?
3,1,3,159,9,168,?
1,1,4,122,7,129,?
21,3,3,143,40,183,?
3,2,2,120,10,130,?
9,4,3,160,20,180,?
3,8,3,226,26,252,?
45,18,7,158,82,240,?
5,2,1,147,8,155,?
10,4,1,158,22,180,?
3,1,3,152,7,159,?
15,5,6,165,30,195,?
13,6,4,86,27,113,?
7,0,4,156,12,168,?
5,9,5,76,32,108,?
9,6,8,129,36,165,?
2,3,1,135,12,147,?
11,2,4,156,22,178,?
1,2,2,174,10,184,?
21,14,5,151,52,203,?
1,1,1,137,6,143,?
8,0,3,158,15,173,?
2,3,3,175,12,187,?
15,1,5,152,27,179,?
1,1,3,130,13,143,?
13,2,6,158,24,182,?
1,1,3,128,9,137,?
14,5,3,154,28,182,?
0,1,0,133,2,135,?
14,2,3,160,25,185,?
4,0,3,166,9,175,?
6,3,4,160,21,181,?
3,2,1,181,9,190,?
8,7,4,157,24,181,?
4,1,1,136,12,148,?
9,4,2,159,20,179,?
5,5,2,236,16,252,?
12,4,5,158,24,182,?
5,5,6,280,21,301,?
