% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: May, 2016
% 
@RELATION SCIAA
@ATTRIBUTE VerticalProjectionVariance  	NUMERIC
@ATTRIBUTE MajorHorizontalProjectionDifference   	NUMERIC
@ATTRIBUTE MajorVerticalEdge  	NUMERIC
@ATTRIBUTE pixelDistribution   NUMERIC
@ATTRIBUTE VerticalEdge   NUMERIC
@ATTRIBUTE Density   NUMERIC
@ATTRIBUTE DeviationWidth   NUMERIC
@ATTRIBUTE DeviationHeight   NUMERIC
@ATTRIBUTE DeviationArea   NUMERIC
@ATTRIBUTE class        {Printed, Handwritten}
@DATA
15798684.71,89760,211.46,11.89,35.52,67.70,45.00,24.87,43213.37,Handwritten
22871843.35,83640,168.30,10.64,23.09,51.91,535.00,6.87,79901.37,Handwritten
10462514.12,107100,150.00,1.93,9.50,23.47,661.00,21.87,99671.37,Handwritten
13767579.90,73440,217.09,25.81,31.76,57.83,659.00,32.87,104781.37,Handwritten
8077691.96,28560,223.99,1.44,41.55,67.11,667.00,32.87,105373.37,Handwritten
8006139.89,25500,165.00,30.07,31.91,60.57,927.00,38.87,125885.37,Handwritten
9313917.34,10200,215.06,49.61,31.81,48.43,867.00,23.87,117725.37,Handwritten
8447523.06,14280,209.23,71.25,35.00,59.86,907.00,28.87,122205.37,Handwritten
26658102.84,107100,128.93,29.53,21.19,46.50,179.00,71.13,30578.63,Handwritten
10149910.50,25500,174.15,67.25,27.82,57.50,911.00,24.87,121605.37,Handwritten
33933991.03,317730,141.52,5.91,18.65,35.10,1243.00,84.13,314660.63,Handwritten
36012082.06,221340,147.06,3.50,24.82,51.66,745.00,82.13,215774.63,Handwritten
34538878.43,280500,149.67,5.68,22.12,42.33,893.00,77.13,233586.63,Handwritten
21427999.20,350880,212.05,2.46,29.44,59.89,1461.00,11.87,106698.63,Handwritten
19659244.29,504900,226.17,5.58,21.70,47.35,2513.00,8.13,279678.63,Handwritten
19176041.76,374340,210.31,11.91,23.45,49.56,2397.00,9.87,202690.63,Handwritten
19382616.54,306000,216.61,5.76,23.24,51.34,1701.00,13.87,123818.63,Handwritten
18915831.32,20400,174.47,41.16,31.46,71.94,939.00,30.87,125101.37,Handwritten
14455435.13,34680,188.89,2.38,35.84,65.90,719.00,25.87,106281.37,Handwritten
23344107.84,284580,208.39,6.00,28.86,61.31,581.00,13.87,19658.63,Handwritten
16018299.51,211140,185.71,27.24,27.59,58.82,569.00,14.87,16834.63,Handwritten
37850080.61,197880,162.99,9.02,25.98,55.21,437.00,87.13,165442.63,Handwritten
29052491.06,241740,132.31,18.03,21.56,40.64,1475.00,105.13,413866.63,Handwritten
17164276.68,70380,204.00,9.09,33.25,68.27,107.00,26.87,57741.37,Handwritten
22831156.83,15300,211.46,26.85,38.32,80.76,867.00,24.87,117997.37,Handwritten
15894679.09,26520,159.03,43.35,28.10,57.40,579.00,13.87,88221.37,Handwritten
17624312.26,223380,203.46,18.63,28.88,55.08,261.00,12.87,8701.37,Handwritten
18831661.21,29580,159.38,1.41,32.09,74.10,683.00,10.87,96525.37,Handwritten
16233830.65,31620,212.50,30.91,39.35,86.16,343.00,22.87,73437.37,Handwritten
11797231.30,11220,188.35,3.62,48.71,104.32,1023.00,18.87,130093.37,Handwritten
15188615.58,9180,191.25,21.41,35.86,71.31,1031.00,26.87,131661.37,Handwritten
16427176.12,5100,205.11,5.00,53.32,123.91,1071.00,14.87,134045.37,Handwritten
14473088.02,392700,170.80,2.39,14.27,30.88,1673.00,0.87,157770.63,Handwritten
20844762.43,110160,179.19,3.96,19.46,43.24,201.00,4.13,8438.63,Handwritten
17128254.58,77520,168.83,9.20,15.50,34.46,201.00,38.13,53998.63,Handwritten
19414885.50,17340,157.99,1.67,33.51,67.07,731.00,14.87,102765.37,Handwritten
6416165.05,11220,130.21,12.33,35.02,75.10,1063.00,12.87,133157.37,Handwritten
24555040.19,15300,162.92,34.77,31.36,66.29,927.00,1.13,117405.37,Handwritten
8274996.14,5100,165.00,71.34,43.49,93.21,519.02,10.54,60926.34,Handwritten
11603720.09,11220,185.14,37.56,41.27,108.51,379.02,5.54,50146.34,Handwritten
59933384.01,320280,127.04,5.43,19.72,47.89,3324.98,198.46,1027269.66,Handwritten
